quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
31,06/2016,09/2016,unweighted,262420.1100300001,262540.16007999994,0.0004573681435626753,100+
31,06/2016,09/2016,unweighted,30755.636199999975,31331.68060000002,0.018556476888539564,60-100
31,06/2016,09/2016,unweighted,41337.21250000001,42755.83300000009,0.03374250717985028,30-60
31,06/2016,09/2016,unweighted,29013.414200000025,30102.857000000036,0.03686180253412097,15-30
31,06/2016,09/2016,unweighted,15262.37580000001,16222.694100000024,0.0610204304936488,5-15
31,06/2016,09/2016,unweighted,2165.7998000000025,2545.333200000002,0.16147184894443534,0-5
32,09/2016,12/2016,unweighted,265624.5100799998,293096.9799600003,0.09841984860438657,100+
32,09/2016,12/2016,unweighted,32765.05560000001,33418.21059,0.019738409223069908,60-100
32,09/2016,12/2016,unweighted,43300.7511000001,44659.31719999996,0.030892976167731234,30-60
32,09/2016,12/2016,unweighted,30067.97450000005,31345.03350000001,0.04159519823918423,15-30
32,09/2016,12/2016,unweighted,14655.592300000015,14650.485799999966,-0.00034849426349836676,5-15
32,09/2016,12/2016,unweighted,2005.6034000000009,2120.5276000000017,0.05571996253216405,0-5
33,12/2016,03/2017,unweighted,296560.23495000036,305307.57605999976,0.029069363472286724,100+
33,12/2016,03/2017,unweighted,35380.6912,35904.650899999986,0.014700613633108262,60-100
33,12/2016,03/2017,unweighted,46243.7187,47069.54540000006,0.01770055456690578,30-60
33,12/2016,03/2017,unweighted,28158.384299999987,28579.798800000004,0.014854978655343132,15-30
33,12/2016,03/2017,unweighted,14244.731099999979,14787.028800000016,0.03736327307335685,5-15
33,12/2016,03/2017,unweighted,2044.293000000003,2243.2436000000034,0.09287084574051008,0-5
34,03/2017,06/2017,unweighted,307617.2610599999,314967.4946200004,0.02361309048179905,100+
34,03/2017,06/2017,unweighted,36947.51550000001,37437.2786,0.013168556381074836,60-100
34,03/2017,06/2017,unweighted,46525.285000000054,46679.63350000004,0.0033120278109386447,30-60
34,03/2017,06/2017,unweighted,28906.21920000002,28714.384899999997,-0.006658555971966962,15-30
34,03/2017,06/2017,unweighted,13774.235900000025,13761.777100000008,-0.0009049095706181731,5-15
34,03/2017,06/2017,unweighted,2068.7768000000024,2024.8184000000022,-0.021477497217350816,0-5
35,06/2017,09/2017,unweighted,318461.9496200004,340472.1500600004,0.06683033050329001,100+
35,06/2017,09/2017,unweighted,36639.853599999995,37412.634000000035,0.020871910698256002,60-100
35,06/2017,09/2017,unweighted,47126.16100000005,48458.71060000004,0.027883825453571376,30-60
35,06/2017,09/2017,unweighted,28665.655899999994,29274.295599999983,0.02101010004694004,15-30
